"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","吉野川ハイウェイオアシス","東みよし町足代1650","34.037023","133.890915","","","","","","","","","","","0883-79-5339","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","東みよし町役場三好庁舎","東みよし町昼間3673-1","34.042764","133.866821","","","","","","","","","","","0883-82-6303","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","東みよし町中央公民館","東みよし町昼間3697-1","34.043224","133.86529","","","","","","","","","","","0883-79-3217","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,大規模な火事,内水氾濫",""
"","ふれアリーナみよし","東みよし町昼間1734","34.038905","133.876146","","","","","","","","","","","0883-79-3217","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","農業者トレーニングセンター","東みよし町西庄字横手9-2","34.043269","133.938656","","","","","","","","","","","0883-79-5339","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事,内水氾濫",""
"","町立体育館","東みよし町西庄字横手9-2","34.043491","133.938098","","","","","","","","","","","0883-79-3217","指定緊急避難場所（法指定）,指定避難所（法指定）","崖崩れ等,大規模な火事,内水氾濫",""
"","三加茂公民館","東みよし町加茂3360","34.036788","133.936956","","","","","","","","","","","0883-79-3217","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","コミュニティセンター新開会館","赤石町6-60","33.982576","134.614191","","","","","","","","","","","0885-32-2700","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","和田島小学校","和田島町字山のはな8","33.996248","134.640326","","","","","","","","","","","0885-37-1911","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","新開小学校","大林町字中津37","33.978901","134.617796","","","","","","","","","","","0885-37-1102","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","立江小学校","立江町字松本34-3","33.968812","134.604055","","","","","","","","","","","0885-37-1002","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
"","小松島西高等学校","中田町字原ノ下28-1","34.01513","134.577574","","","","","","","","","","","0885-32-0129","指定緊急避難場所（法定外）,指定避難所（法定外）","津波","災害種別「津波」については法定外"
"","生涯学習センター・市立図書館","小松島町字新港29-11","34.011546","134.586854","","","","","","","","","","","0885-32-1100","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,津波,内水氾濫","災害種別「津波」については法定外"
